AgentType,RoundType,Scenario,PeepConstant,EnforceMajority,AverageUtilityNonCats,AverageUtilityCats,AveragePopularityNonCats,AveragePopularityCats
homoNewCats.csv,"['S', 30]",2NewKitties,0.0,True,27.0,27.0,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.0,False,70.9375,66.25,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.1,True,33.875,34.5,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.1,False,69.8125,70.75,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.2,True,36.9375,32.25,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.2,False,73.25,57.0,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.3,True,24.0,24.0,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.3,False,69.8125,70.75,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.4,True,28.25,27.0,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.4,False,71.75,63.0,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.5,True,36.0,36.0,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.5,False,73.9375,51.0,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.6,True,39.125,38.5,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.6,False,74.625,51.5,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.7,True,33.0,33.0,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.7,False,72.0625,56.75,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.8,True,39.9375,40.25,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.8,False,73.0,58.0,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.9,True,45.0,45.0,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,0.9,False,69.5625,69.25,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,1.0,True,18.0,18.0,NAN,NAN
homoNewCats.csv,"['S', 30]",2NewKitties,1.0,False,74.6875,50.5,NAN,NAN
homoNewCats.csv,"['S', 30]",2OldKitties,0.0,True,37.75,39.0,NAN,NAN
