genes_36_74_4_73_78_51_50_71_13_51_88_35_67_78_60_33_79_19_42_46_81_94_84_37_49_94_45_95_69_94_32_57_86_13_13_12_100_40_5_88_63_72_5_45_42_15_98_79_17_59_89_23_86_58_4_48_29_60_100_86_78_29_3_36_66_74_75_54_48_52_17_15_44_91_64_43_71_54_74_20_94_43_38_31_86_79_44_87_13_63_67_74_0_97_25_3_55_96_50,8,0.125,17.5,0.1056,100.6209
genes_61_5_19_5_60_18_100_63_15_0_29_99_15_47_24_90_41_27_58_67_12_32_5_13_20_48_65_59_95_12_93_77_45_81_13_0_66_37_92_31_3_70_99_89_77_3_98_30_21_70_39_94_8_100_26_37_29_71_82_38_28_99_26_93_91_80_21_81_49_71_21_75_77_86_39_68_82_30_13_66_68_85_49_86_49_73_82_99_61_1_93_38_13_17_18_82_81_42_57,8,0.125,16.25,0.077,29.195
genes_50_44_97_84_60_81_19_90_58_99_42_19_15_75_86_81_27_60_100_65_46_93_30_81_38_74_25_65_69_93_75_0_69_55_30_79_33_95_28_22_68_49_83_47_98_82_14_71_22_46_84_57_15_11_93_61_35_38_5_29_37_10_6_67_46_100_76_91_23_61_2_1_69_53_17_94_14_72_6_79_54_93_53_81_21_86_24_31_48_15_32_43_38_37_64_4_79_93_92,8,0.1139,15.25,0.1056,121.9602
genes_68_51_30_41_39_85_38_66_57_43_94_83_92_31_28_68_99_50_71_15_27_51_83_24_66_15_0_87_53_7_44_48_92_66_9_56_47_82_90_54_54_85_43_22_62_53_51_88_62_49_25_1_47_91_30_39_2_22_23_10_49_43_46_16_62_76_3_86_44_5_67_35_50_48_66_6_38_70_22_0_21_34_43_79_31_58_50_96_47_60_18_2_85_97_58_26_59_45_47,8,0.101,15.0,0.1028,132.4915
genes_83_54_39_75_70_73_33_85_48_28_92_77_98_95_19_28_33_41_21_13_17_4_84_89_98_45_88_98_62_5_1_24_33_72_12_41_10_59_2_34_50_58_4_26_79_14_86_77_98_86_1_38_10_60_22_51_25_59_31_76_72_82_64_83_52_49_7_56_84_55_40_41_6_4_16_49_96_67_80_34_14_58_50_38_36_82_85_77_29_8_34_39_46_61_59_41_86_86_61,8,0.095,14.5,0.1016,145.5033
genes_75_69_25_26_74_94_94_29_13_79_25_12_24_28_21_81_64_30_55_16_58_71_86_11_15_76_50_47_81_71_100_59_68_76_63_10_98_85_98_91_68_8_3_70_75_15_89_41_32_20_56_9_47_91_35_13_9_97_62_64_61_92_32_28_74_6_67_83_71_63_97_40_11_37_70_50_46_20_83_26_8_78_50_60_20_98_20_3_98_22_24_89_29_69_87_14_25_5_9,8,0.1339,14.375,0.0805,33.6069
genes_75_37_76_67_1_98_36_98_37_7_99_74_71_24_0_87_8_14_10_45_72_49_33_82_69_89_47_14_3_73_85_84_58_36_98_30_32_56_48_81_45_37_33_58_69_17_43_84_92_39_12_63_92_94_65_46_49_21_92_61_45_51_82_8_4_80_69_0_65_3_100_45_2_1_9_57_26_25_31_14_50_78_66_20_43_10_69_32_7_9_88_74_77_12_74_4_27_96_31,8,0.1028,14.25,0.1143,112.1084
genes_77_0_84_30_37_95_33_75_54_23_65_27_23_2_88_48_53_94_72_61_70_96_41_22_15_71_90_5_53_1_9_4_96_15_4_60_94_5_7_46_36_34_42_23_11_58_74_4_61_56_19_96_54_3_26_61_75_67_59_91_50_35_0_73_12_43_54_38_54_32_62_46_23_62_80_4_50_31_17_43_45_74_1_43_2_4_15_58_92_94_44_9_32_33_5_97_56_66_61,8,0.1028,14.25,0.107,111.0987
genes_59_3_5_19_95_10_24_91_86_90_76_22_53_37_15_13_67_18_68_25_68_20_84_97_15_42_36_57_76_52_88_48_53_20_34_17_84_57_44_22_62_69_4_27_97_49_80_87_37_18_20_96_76_81_80_65_92_44_80_53_100_59_65_3_40_74_4_7_43_57_92_95_4_19_60_56_5_70_59_51_24_2_98_48_47_21_83_14_88_47_24_65_83_100_10_89_95_57_33,8,0.1053,13.0,0.1143,114.2941
genes_23_3_79_39_61_96_54_82_35_26_55_61_94_39_17_80_49_6_69_95_92_84_0_13_74_90_0_66_88_33_71_7_34_1_82_82_72_59_89_34_76_92_26_17_66_98_86_28_86_54_4_77_7_23_20_48_50_72_74_93_58_2_85_51_10_100_34_40_47_77_32_62_83_45_19_84_45_4_94_52_4_22_97_35_57_67_93_27_28_22_13_85_52_31_92_15_92_33_76,8,0.0861,12.75,0.1159,111.1662
