Genes,GamesPlayed,RelativeFitness,AbsoluteFitness
genes_18_8_92_57_76_22_50_24_57_57_73_75_43_93_75_85_83_49_3_16_40_23_32_90_11_85_42_46_38_94_30_40_61_64_77_28_26_65_0_63_34_77_29_38_99_26_5_47_96_49_41_80_20_13_7_41_40_15_74_37_32_86_92_78_69_94_56_29_17_37_90_38_78_32_1_30_0_56_54_89_28_35_83_39_14_95_24_18_24_9_100_72_89_80_45_29_53_38_13,1,0.1296,253.2153
genes_21_8_25_55_81_50_79_40_57_33_50_79_67_73_70_0_85_58_79_16_40_16_30_62_11_87_74_42_38_94_26_90_28_64_22_31_18_70_6_80_66_81_2_41_100_26_41_90_91_54_34_74_20_7_14_64_40_6_78_37_84_80_86_78_10_94_59_0_82_32_100_38_81_32_16_29_12_90_86_29_26_12_78_33_14_95_90_17_21_8_82_73_95_93_45_80_53_48_99,1,0.1186,250.9626
genes_14_8_19_57_49_26_6_20_57_33_73_79_72_72_71_85_74_98_81_16_39_54_30_86_11_80_20_23_34_94_27_44_51_63_22_62_48_40_71_65_15_77_34_41_100_26_34_51_68_49_50_74_22_54_13_59_40_74_77_6_93_82_92_74_69_94_54_25_87_21_90_38_81_36_0_10_49_80_61_87_29_16_78_39_14_11_91_15_24_6_99_72_89_97_44_80_53_53_45,1,0.1287,228.8304
genes_14_39_81_57_79_26_61_20_65_33_78_79_43_72_71_85_75_54_8_16_40_20_32_90_11_81_20_23_38_95_27_44_51_61_77_31_48_40_0_68_18_81_37_41_100_24_38_51_96_49_50_74_20_54_5_59_40_15_78_6_93_82_97_78_26_94_77_25_39_21_90_38_79_32_1_10_4_80_61_87_29_35_78_39_10_11_21_15_19_6_100_70_89_80_44_84_53_43_8,1,0.1107,215.5154
genes_14_8_21_57_81_50_67_20_62_39_73_12_67_73_72_0_74_58_79_20_40_23_28_62_11_79_28_42_39_40_27_49_71_64_43_31_47_43_32_67_66_81_36_41_100_26_34_59_90_54_50_74_20_7_46_59_40_6_78_6_97_60_92_76_69_94_54_3_82_41_90_38_86_32_12_55_51_15_86_86_26_12_79_40_14_93_94_15_21_9_78_72_98_88_45_86_53_49_45,1,0.1032,202.5489
genes_14_87_81_57_49_22_50_20_62_55_73_79_43_93_74_85_88_54_3_99_38_23_32_86_11_85_68_23_37_94_30_26_68_68_77_28_26_65_32_63_33_73_34_41_100_25_38_64_96_50_46_76_16_13_7_42_40_15_74_37_97_86_92_76_31_94_55_27_17_37_90_32_78_32_1_35_4_56_57_89_28_35_83_40_14_95_21_18_24_4_100_70_89_80_45_86_53_38_17,1,0.0845,169.0025
genes_6_8_25_57_81_22_6_20_62_55_73_79_43_93_71_85_74_54_81_16_40_21_32_62_11_81_47_43_32_94_27_44_28_64_22_28_49_69_0_65_66_72_13_41_100_21_38_90_91_50_41_76_20_12_51_64_40_3_78_12_89_89_97_78_69_79_58_29_87_23_100_99_74_29_1_10_49_56_58_89_26_35_78_39_14_95_90_18_24_8_100_71_89_97_44_36_53_49_13,1,0.0926,157.779
genes_14_8_25_82_49_50_59_20_18_67_72_79_69_72_74_85_46_49_94_100_27_23_30_89_11_81_79_43_37_97_32_40_66_63_79_75_45_65_7_80_13_29_34_41_68_26_81_92_93_50_75_74_22_54_7_8_40_15_85_40_84_80_54_78_10_94_60_4_82_32_97_38_75_32_16_35_12_85_85_29_29_12_78_33_14_95_88_18_21_9_60_70_92_88_47_80_56_53_99,1,0.0786,155.1049
genes_6_11_21_57_11_22_66_20_80_33_52_77_43_72_73_85_85_49_8_20_40_6_26_90_28_75_21_23_34_98_25_44_28_62_22_31_45_39_32_65_18_32_36_42_100_70_41_59_90_62_50_43_22_2_58_59_39_15_77_36_99_86_94_78_70_94_89_7_17_42_95_38_78_32_16_34_49_80_49_26_31_7_100_40_14_93_91_17_25_6_99_72_89_97_43_17_54_49_49,1,0.0754,137.8021
genes_54_12_29_82_81_26_6_20_64_33_50_78_43_81_73_85_85_64_81_100_40_11_30_64_11_80_21_43_37_93_27_44_28_62_80_31_45_35_7_68_66_32_13_42_70_64_83_90_73_59_87_43_20_54_52_59_40_15_78_12_89_89_95_75_73_79_89_3_17_23_100_33_78_32_6_10_9_80_53_26_31_15_78_39_14_53_91_10_24_5_100_4_97_94_43_80_53_53_12,1,0.0781,130.5408
genes_88_8_25_57_49_50_63_20_57_67_70_79_67_69_74_85_41_49_10_100_27_23_27_89_11_80_18_43_37_97_29_40_66_64_79_60_49_65_7_80_13_77_34_41_100_26_42_90_93_50_50_74_22_54_14_8_40_15_78_40_94_69_54_78_36_94_59_4_82_32_90_38_78_32_16_8_49_85_85_29_28_12_78_33_14_95_90_17_17_9_99_70_95_97_41_77_51_54_99,0,0.0,0.0
genes_14_87_23_57_76_22_61_20_62_57_74_75_43_93_74_85_88_54_69_98_40_21_54_90_11_85_68_23_38_94_30_42_61_64_77_62_26_65_0_63_18_76_34_41_99_21_38_50_96_50_41_76_22_10_5_42_40_15_45_37_97_86_92_78_69_94_56_12_17_21_90_38_78_30_0_30_0_56_62_89_28_35_83_39_14_95_21_18_28_7_100_69_89_95_45_86_54_40_13,0,0.0,0.0
genes_11_8_81_57_76_22_61_20_62_57_73_77_43_93_74_86_88_54_12_98_74_21_32_90_11_81_42_19_38_95_30_37_61_63_77_28_47_69_0_63_18_77_37_41_100_20_38_47_96_50_41_76_20_13_5_41_40_15_65_37_96_86_100_78_67_93_56_29_17_21_40_38_78_32_1_30_67_56_66_89_27_35_83_39_14_95_21_18_24_4_100_70_84_80_45_86_53_43_13,0,0.0,0.0
genes_17_85_23_57_49_22_50_20_62_57_73_73_43_93_75_85_88_49_66_20_10_23_32_90_11_85_68_46_37_94_30_26_66_64_23_62_26_65_32_66_34_73_29_41_99_26_42_64_96_49_46_80_20_12_2_42_40_10_74_37_20_86_46_76_31_94_56_8_17_37_90_32_96_31_1_30_0_56_62_84_28_35_78_40_14_95_21_18_28_9_93_72_94_80_45_86_54_38_13,0,0.0,0.0
genes_14_7_81_57_81_50_93_40_62_57_73_78_43_94_72_0_58_58_8_17_40_21_32_62_11_20_42_42_40_40_26_40_61_66_77_28_49_70_63_67_18_77_2_41_100_24_38_90_91_54_34_40_20_13_5_41_39_15_78_37_80_86_95_74_66_94_55_29_82_21_100_99_81_32_1_28_2_56_87_32_23_12_83_39_14_95_90_17_20_4_82_70_89_80_50_86_52_43_99,0,0.0,0.0
genes_49_7_21_83_84_50_61_40_79_33_72_77_67_72_70_85_85_49_81_20_40_21_30_90_16_79_72_23_39_94_30_49_51_64_76_28_47_31_0_65_15_77_2_41_100_0_34_61_90_54_41_79_20_13_17_41_40_6_77_6_97_88_92_78_66_94_54_29_82_37_97_100_81_36_34_12_46_80_62_30_92_32_78_40_14_93_21_17_28_4_99_72_89_97_43_86_51_53_8,0,0.0,0.0
genes_60_8_25_57_84_50_6_18_57_33_73_77_64_72_74_85_41_49_81_20_40_23_26_61_28_80_74_23_39_94_29_49_66_64_22_61_49_65_7_65_18_77_2_41_100_26_38_59_90_49_50_74_20_54_14_59_40_6_77_6_97_80_90_78_69_94_54_4_17_17_93_38_81_32_19_8_12_84_85_29_25_12_78_33_14_95_90_15_24_9_98_73_89_97_77_80_54_51_45,0,0.0,0.0
genes_17_87_21_57_81_22_93_40_62_33_68_75_43_75_75_85_85_49_3_16_40_16_33_62_11_79_17_42_35_94_30_26_33_64_84_27_26_65_32_66_66_84_2_41_99_26_37_64_99_49_3_80_20_14_7_64_40_77_78_37_81_86_92_76_69_94_56_8_17_37_96_32_75_35_1_28_0_56_62_89_28_12_78_40_16_51_18_17_26_9_82_72_99_88_47_86_58_55_100,0,0.0,0.0
genes_49_7_21_82_47_50_6_40_79_67_72_77_67_69_74_0_85_49_81_20_40_23_30_90_16_79_70_20_39_94_31_49_66_58_81_61_47_43_32_67_72_73_2_41_100_26_34_47_96_49_50_79_22_54_15_59_38_6_77_6_80_88_93_78_32_94_54_0_17_37_97_38_77_32_16_12_52_85_62_30_78_12_78_40_14_6_21_17_24_6_93_68_89_0_16_80_51_49_45,0,0.0,0.0
genes_21_8_21_57_84_50_6_19_57_33_68_79_67_72_74_85_74_49_13_21_27_16_30_88_11_80_74_43_39_94_27_40_66_63_53_61_47_40_32_65_18_72_0_41_100_26_38_90_87_50_50_74_20_54_14_59_40_6_82_6_97_80_90_100_58_94_63_27_82_32_90_38_81_32_16_8_12_85_85_29_28_12_78_33_15_95_90_15_25_9_99_70_95_97_76_80_54_53_45,0,0.0,0.0
genes_19_8_19_61_76_26_61_15_65_33_73_79_69_93_71_85_87_49_8_98_40_23_30_90_11_76_42_23_39_94_30_40_61_63_22_28_48_40_27_68_18_81_34_41_100_61_38_54_96_50_37_74_20_54_6_59_40_41_100_37_93_82_74_74_69_94_59_29_17_21_90_32_78_32_5_10_4_56_58_87_29_35_78_39_14_95_93_15_24_6_100_76_89_80_44_86_51_43_13,0,0.0,0.0
genes_6_12_25_58_76_26_65_22_62_57_52_83_43_81_74_85_85_64_8_98_40_11_68_90_11_71_21_21_38_98_30_90_61_62_79_28_42_40_33_68_18_77_33_41_72_68_38_90_89_59_87_76_20_54_9_41_40_16_72_36_99_45_97_78_70_94_56_4_17_42_90_34_73_32_6_92_7_72_58_85_31_35_85_35_14_11_91_18_26_2_100_74_89_94_45_86_54_43_11,0,0.0,0.0
