Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_78_8_67_91_23_43_82_32_38_2_44_72_100_28_25_18_60_26_61_37_6_67_17_13_64_36_96_40_87_32_46_53_91_25_35_84_15_99_76_44_3_36_58_19_19_5_71_69_23_1_58_71_52_66_73_8_53_0_80_48_16_41_37_89_29_88_66_13_77_17_15_19_12_1_39_91_78_76_16_2_21_95_47_6_77_21_71_49_71_5_42_60_0_55_83_50_6_79_93,1,0.1625,31.0
genes_19_60_65_18_49_96_39_36_87_51_18_46_97_15_51_70_57_14_66_62_0_43_73_7_12_46_42_36_42_43_7_24_51_34_24_78_71_99_93_16_0_70_26_24_19_20_71_10_41_22_73_64_62_13_19_81_71_9_98_33_10_75_28_20_87_56_32_8_54_18_69_13_89_16_32_89_6_90_20_18_13_2_15_19_30_14_86_0_98_84_30_60_3_76_0_72_31_75_90,2,0.1433,26.5
genes_77_60_65_23_84_43_4_95_72_38_33_71_100_62_25_67_14_55_42_41_72_63_77_11_16_20_45_48_8_28_38_47_91_63_88_77_71_78_43_16_0_30_63_21_15_5_45_9_35_22_73_72_86_70_18_80_43_4_98_13_100_79_85_48_79_100_59_100_73_14_75_80_30_10_31_86_100_87_9_43_14_90_15_5_27_21_87_0_70_88_30_39_3_63_0_55_38_49_69,1,0.15,26.0
genes_78_63_72_25_19_32_36_18_89_24_14_69_100_36_48_65_14_66_61_80_63_59_71_2_70_57_90_39_43_36_63_90_94_26_94_95_0_69_45_14_1_97_43_21_20_17_82_4_38_0_63_70_88_71_71_9_61_7_93_48_97_40_36_100_54_54_59_55_36_13_22_58_18_5_31_84_37_73_16_36_20_91_68_18_30_67_88_20_88_93_7_55_4_71_84_77_31_53_7,1,0.1667,25.0
genes_77_63_61_29_78_43_72_95_38_38_45_14_96_32_71_29_60_7_61_41_74_63_73_19_16_20_90_43_91_27_38_0_91_63_64_100_15_63_97_16_0_33_63_19_11_5_70_53_41_58_60_35_61_57_69_74_10_0_98_80_54_79_35_98_19_88_59_17_50_67_75_80_21_5_38_94_78_12_64_46_14_90_51_10_55_14_87_30_17_85_12_52_100_36_66_15_10_68_69,1,0.1667,25.0
genes_66_57_43_0_100_39_82_38_65_22_90_88_96_29_51_52_2_27_50_77_14_84_74_19_85_35_42_70_9_84_95_53_91_26_50_98_84_100_89_42_0_70_81_26_19_22_25_10_44_45_64_88_93_77_67_99_38_0_99_76_72_41_86_55_8_53_61_84_37_20_5_42_94_27_28_93_43_49_9_0_53_5_15_17_45_96_22_77_65_12_28_55_3_32_0_17_70_53_87,1,0.1357,24.0
genes_80_61_6_2_48_16_77_40_89_18_71_88_89_32_51_47_75_8_51_26_44_47_69_6_52_47_40_31_81_27_88_53_96_52_53_36_0_69_76_17_1_100_86_42_19_15_78_3_41_54_51_64_29_42_14_99_5_0_97_78_23_77_17_98_1_52_63_87_31_10_5_53_86_33_31_62_19_75_53_2_53_38_39_21_42_86_66_9_17_94_66_28_5_36_54_19_30_53_92,1,0.1583,24.0
genes_70_63_70_56_84_43_82_57_36_32_94_69_100_36_48_48_64_90_61_79_51_66_73_8_22_24_69_43_64_32_40_35_91_22_95_59_84_100_87_83_36_33_91_26_27_17_70_33_46_11_63_68_60_67_67_93_38_56_73_75_16_75_31_20_8_17_31_17_73_12_0_37_18_55_55_96_18_51_17_36_11_95_57_44_32_19_70_33_29_90_28_27_93_36_7_50_3_78_69,1,0.1357,24.0
genes_31_63_66_0_5_41_30_44_89_0_27_78_92_63_48_64_22_26_61_76_49_51_73_19_99_58_94_66_46_53_7_95_56_25_81_84_49_78_81_49_80_32_94_16_19_4_76_2_41_54_51_35_57_81_61_84_53_9_96_72_16_94_82_20_16_88_62_17_34_11_16_21_12_11_38_7_100_31_9_68_18_68_39_44_51_17_94_18_70_86_23_39_22_77_0_49_6_52_91,1,0.1214,22.0
genes_19_69_51_16_19_33_36_42_97_4_67_20_100_32_46_84_27_91_61_86_34_67_76_9_28_38_93_43_42_41_41_57_91_30_79_15_54_84_98_31_30_75_95_54_65_14_92_14_41_14_64_68_62_73_61_87_71_0_96_97_13_10_27_67_19_63_64_0_70_10_13_28_53_10_71_88_39_88_20_68_11_39_15_50_23_17_73_12_70_69_75_94_1_76_4_55_34_74_87,1,0.1417,22.0
