Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_55_54_5_46_50_5_78_85_3_41_65_88_38_91_95_70_92_36_58_84_80_85_69_80_17_33_25_99_67_10_77_11_25_30_38_100_36_57_62_6_15_99_13_35_18_24_69_74_34_43_70_81_92_91_71_56_0_70_63_91_30_39_89_93_22_2_62_48_17_100_79_67_80_39_100_40_27_85_35_41_60_59_44_9_65_19_24_100_33_42_53_86_62_69_35_57_63_31_34,1,0.0,5.0
genes_53_64_49_39_15_85_30_34_0_17_59_32_5_22_93_5_21_73_0_79_80_31_68_26_90_22_28_40_21_77_32_14_23_66_27_50_37_66_17_50_9_100_29_91_72_94_26_52_35_45_31_44_20_53_12_37_80_27_58_8_30_39_47_31_84_23_23_47_12_94_37_67_80_64_23_81_75_58_55_38_27_86_84_97_6_40_57_94_10_47_85_88_30_18_80_34_26_72_99,3,0.0,5.0
genes_57_81_72_14_4_84_3_35_0_44_70_19_56_73_37_0_84_31_16_31_90_18_15_90_27_34_28_2_58_17_44_11_79_58_40_100_24_43_81_9_15_50_78_31_31_21_7_6_90_92_54_25_16_95_10_86_81_15_58_92_30_6_54_43_87_22_0_30_26_90_52_29_79_25_100_41_8_93_30_40_5_7_93_66_31_65_98_43_39_54_66_55_31_26_13_25_61_21_64,1,0.0,5.0
genes_35_88_5_14_12_3_76_35_1_17_57_26_43_34_28_5_62_6_77_34_85_28_44_50_48_37_42_83_49_41_35_48_11_55_100_71_27_68_3_19_13_50_97_12_83_37_77_98_34_53_54_53_94_72_40_85_82_18_63_63_30_43_40_68_52_7_55_34_47_91_43_1_0_27_5_90_8_61_53_56_24_7_27_77_43_24_79_42_6_42_67_100_3_13_41_31_11_45_38,2,0.0,5.0
genes_31_62_37_48_51_12_54_88_0_48_53_36_28_71_89_78_82_74_14_87_28_65_23_83_90_66_16_46_39_73_31_28_71_16_30_77_86_63_17_13_53_80_5_31_99_29_7_97_100_63_22_27_60_76_89_51_38_70_75_79_6_23_39_41_82_23_17_43_21_2_39_58_81_47_31_72_8_90_4_56_18_10_91_51_27_14_26_66_59_86_51_98_32_5_15_41_25_70_49,1,0.0,5.0
genes_32_93_90_17_84_90_29_31_24_44_59_32_67_62_22_8_72_76_66_26_87_85_71_97_55_28_28_95_64_79_90_43_73_49_19_82_9_59_19_64_11_87_100_44_63_91_6_23_66_40_98_51_22_95_84_81_68_70_61_65_29_14_84_71_64_57_15_18_79_62_69_3_63_28_100_35_67_99_39_53_69_92_68_98_61_98_95_30_11_96_85_95_31_9_14_36_16_74_21,1,0.0,5.0
genes_54_93_39_53_84_5_3_69_58_64_16_30_38_73_22_70_82_72_42_83_84_79_57_69_48_48_93_51_19_36_77_78_79_94_43_69_23_68_9_14_16_46_18_35_18_70_69_23_34_43_74_25_92_45_76_56_4_70_51_4_58_39_86_97_22_2_4_29_100_10_52_49_17_39_100_95_27_2_10_100_60_65_96_39_65_42_79_24_8_42_53_86_30_95_32_57_63_31_34,2,0.0,5.0
genes_63_59_81_10_16_87_80_31_0_63_16_23_66_73_22_8_84_31_14_31_28_45_60_88_75_28_3_87_94_77_44_54_79_68_98_100_24_78_80_9_15_100_33_72_28_21_67_13_90_60_62_28_20_82_10_41_81_88_17_84_39_19_54_41_47_23_4_32_11_13_52_59_79_47_23_41_82_90_20_42_18_10_93_93_63_13_57_21_7_56_94_98_26_10_94_25_5_72_64,1,0.0,5.0
genes_82_59_29_6_45_7_78_85_92_44_98_24_66_80_22_6_45_36_64_63_6_45_23_73_25_35_28_48_73_77_88_54_77_62_95_100_24_69_3_64_15_50_81_29_58_67_67_6_90_59_66_25_20_94_8_37_68_65_47_87_30_94_53_94_80_14_21_30_10_98_39_69_79_30_100_41_32_90_97_23_57_59_93_91_63_46_57_23_7_50_94_32_35_26_74_25_9_0_38,1,0.0,5.0
genes_51_93_90_58_15_90_0_31_24_17_73_27_67_73_93_67_92_33_58_84_51_85_21_98_55_28_28_99_61_89_77_98_76_96_36_71_9_59_80_19_15_42_89_44_18_24_66_16_80_40_71_51_92_95_71_37_77_70_51_4_42_39_25_97_65_5_20_45_19_100_52_36_78_28_96_35_29_26_23_57_68_59_70_9_63_99_93_37_33_96_53_86_21_95_44_57_63_72_31,1,0.0,5.0
genes_31_89_70_53_15_27_95_71_89_59_62_29_66_72_56_5_95_72_14_67_51_82_57_84_50_57_96_4_66_86_80_6_11_54_7_13_24_60_0_95_17_55_74_67_6_65_21_6_34_68_1_67_49_1_84_87_86_23_72_84_31_49_33_72_57_11_85_27_99_100_80_2_71_24_42_83_100_91_46_100_76_64_3_9_34_63_100_21_1_56_60_49_14_66_74_23_8_46_97,1,0.0,5.0
genes_29_81_7_16_44_90_29_31_19_44_57_25_67_58_37_8_72_67_66_72_80_16_69_98_20_29_36_39_55_84_54_98_23_61_22_86_31_59_16_64_15_74_75_44_49_6_7_23_66_54_98_45_25_13_84_83_44_70_8_65_42_22_25_91_64_52_2_18_29_17_82_14_60_28_100_35_8_100_18_23_66_37_31_95_33_65_95_33_22_43_62_98_22_81_70_5_16_0_31,2,0.0,5.0
genes_43_10_77_6_85_12_74_35_7_63_57_86_57_94_95_71_82_27_14_88_28_15_44_81_73_19_8_39_43_93_91_18_73_11_33_8_23_79_47_93_13_43_100_72_30_58_7_97_16_63_59_51_92_95_78_51_76_23_75_66_39_21_44_55_26_36_17_55_21_35_32_7_81_47_51_87_11_90_53_11_18_91_88_90_27_42_22_38_11_62_86_49_94_10_45_29_36_98_49,1,0.0,5.0
genes_40_77_5_30_7_5_37_74_61_59_94_30_68_60_33_5_20_72_14_67_85_34_57_45_48_33_93_14_90_95_80_14_76_29_39_71_27_48_3_17_15_43_85_12_0_70_69_32_21_92_95_6_98_95_33_83_9_66_51_4_35_94_15_68_51_21_4_27_49_100_19_31_9_39_27_35_46_21_27_54_55_10_39_6_28_12_84_42_22_44_56_51_5_24_20_31_11_26_33,2,0.0,5.0
genes_32_6_41_32_81_80_78_81_1_63_59_32_66_70_86_58_72_24_37_26_48_19_20_97_49_26_95_43_91_79_88_50_25_28_38_0_17_51_19_19_24_87_100_39_63_65_82_1_90_51_94_98_94_94_6_81_68_78_63_94_29_19_1_71_51_5_13_15_44_62_69_3_89_29_21_39_72_99_18_61_57_95_70_98_58_98_95_33_11_87_90_98_3_19_18_40_16_78_38,2,0.0,5.0
genes_53_94_90_14_8_6_36_88_50_44_65_58_4_54_88_5_25_76_12_79_5_22_40_76_62_0_7_43_43_94_28_14_73_92_4_96_37_72_85_14_53_55_73_87_52_26_82_54_61_18_66_53_89_95_31_51_82_90_53_66_37_39_49_41_21_4_16_34_79_100_11_79_3_45_26_35_84_74_39_51_60_40_82_54_43_99_84_23_19_88_0_100_30_65_45_31_7_4_95,1,0.0,5.0
genes_16_98_4_19_8_3_38_27_7_50_57_41_43_76_95_3_67_27_14_88_33_29_57_59_18_60_48_71_49_41_31_78_7_29_36_60_42_60_16_19_13_50_28_9_1_37_82_98_30_63_62_53_92_36_78_0_18_70_58_89_30_21_40_41_54_52_55_34_27_11_21_4_85_32_23_90_74_61_53_56_24_10_84_93_43_89_74_38_4_62_85_100_28_24_41_29_73_71_49,2,0.0,5.0
