AgentType,RoundType,Scenario,PeepConstant,EnforceMajority,AverageUtilityNonCats,AverageUtilityCats,AveragePopularityNonCats,AveragePopularityCats,UtilityLog,PopularityLog
homoSelfPlay.csv,"[""J"", 3]",SelfPlay,1,True,NAN,NAN,118.97412589514015,NAN,[],"[[112.44641447647095, 114.85031037720012, 116.52791248674896, 115.85891140329656, 113.21864613940429, 110.97868750731607, 124.9841913773291, 119.2764553046238, 138.05880621062366, 123.65559715238055], [109.15885981568007, 127.90376913190084, 120.75050335770874, 125.21758830070394, 116.71002512007499, 119.50860497013846, 124.58658020111304, 123.52741675881569, 107.43687392616323, 115.42785667430499], [119.07485783560861, 126.79031263604321, 121.60307482277855, 120.13756089700493, 121.75609992823942, 109.23196407872541, 102.46261787986393, 120.63894261963637, 116.21218191096142, 133.10838739113834], [110.80652615784173, 130.21007348415472, 116.28454104215362, 124.37471905809966, 126.01936710248594, 117.79974505101194, 111.92366083505647, 116.7349094070488, 127.37202276761556, 109.49043509453175], [117.70136650103746, 123.62061326616035, 136.51940054110864, 113.81043523213455, 111.60943058133154, 103.19420122321401, 124.29239443949106, 123.92476956612742, 118.28789613435993, 113.62977658004425]]"
homoSelfPlay.csv,"[""S"", 3]",SelfPlay,0,True,12.0,NAN,NAN,NAN,"[[10.0, 11.0, 11.0, 15.0, 13.0, 11.0, 13.0, 10.0, 13.0, 13.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [13.0, 10.0, 12.0, 13.0, 13.0, 13.0, 13.0, 13.0, 10.0, 10.0], [16.0, 15.0, 14.0, 15.0, 12.0, 13.0, 14.0, 15.0, 14.0, 12.0], [13.0, 13.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 10.0]]",[]
homoSelfPlay.csv,"[""S"", 3]",SelfPlay,0,False,16.0,NAN,NAN,NAN,"[[17.0, 13.0, 12.0, 20.0, 17.0, 20.0, 14.0, 19.0, 15.0, 13.0], [14.0, 23.0, 16.0, 17.0, 20.0, 16.0, 13.0, 10.0, 14.0, 17.0], [14.0, 21.0, 16.0, 15.0, 18.0, 20.0, 11.0, 19.0, 16.0, 10.0], [13.0, 23.0, 18.0, 10.0, 21.0, 17.0, 14.0, 19.0, 14.0, 11.0], [16.0, 15.0, 18.0, 21.0, 16.0, 14.0, 15.0, 21.0, 10.0, 14.0]]",[]
homoSelfPlay.csv,"[4, 3]",SelfPlay,0.0,True,11.600000000000001,NAN,150.26451265447554,NAN,"[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 13.0, 13.0, 10.0], [12.0, 13.0, 12.0, 12.0, 12.0, 10.0, 12.0, 13.0, 12.0, 12.0], [15.0, 15.0, 16.0, 10.0, 13.0, 15.0, 13.0, 12.0, 16.0, 15.0]]","[[135.2457612834003, 163.77341261986552, 162.40873381961111, 149.0994458362992, 156.82713559415382, 156.55912292433126, 113.50697504554023, 147.08762598241657, 163.34408183743966, 154.7404136687867], [159.30703654821008, 168.71723329384707, 148.13701007934066, 163.19968819985738, 159.7403841492182, 148.91971687619866, 147.48371687123245, 155.01342814276515, 157.90099002233933, 95.21105480835163], [161.26236091728572, 142.23010800471286, 135.46921531236518, 144.45609105172423, 157.6163836363749, 146.57023212864834, 153.96565701706126, 156.29974033174463, 158.97572506742313, 146.7847455240203], [165.01242687247526, 147.08180046812632, 155.45399660967865, 125.20426212794568, 157.68533728928213, 153.77449072584156, 154.84186505197957, 134.12948874071932, 161.445786218799, 149.0008048865131], [150.46986956421856, 169.39743466601539, 156.2356799658897, 127.85759069894185, 150.55713958438218, 161.0238665035684, 143.3258585600864, 131.74692866727162, 157.22867671517298, 151.89910221230426]]"
homoSelfPlay.csv,"[4, 3]",SelfPlay,0.1,True,11.2,NAN,150.36302589913606,NAN,"[[14.0, 14.0, 15.0, 15.0, 14.0, 14.0, 14.0, 14.0, 14.0, 12.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[[153.17813738809068, 142.1654240481266, 161.089145166602, 153.67519683450485, 108.13579453286296, 155.2568836160391, 158.39700298915312, 156.1530879435942, 154.40968571816396, 161.16990075422314], [163.11110857806625, 149.9599480216834, 148.08195220221242, 143.91916324278904, 163.244325816204, 143.90515283961517, 161.3213293273694, 131.0840215308905, 161.5045914549302, 137.49866597760015], [154.72875285614313, 162.049171180831, 146.4895599726681, 160.9448635688605, 152.22921063346593, 154.02788565810914, 158.05488293943534, 160.58325472105608, 106.8581862774655, 147.66449118332577], [158.72313985353253, 131.23792951204507, 140.1461826418081, 161.3803764579432, 155.98126290666482, 155.0049759155173, 125.18100527967182, 152.1554354946612, 159.02827742458913, 164.7916735049274], [137.14422511107904, 129.30969233850746, 171.72531315982874, 129.654523283093, 178.25881870518367, 139.60269678368365, 133.46443895339144, 164.56452054581794, 161.9527514221011, 157.95327868867457]]"
homoSelfPlay.csv,"[4, 3]",SelfPlay,0.2,True,11.200000000000001,NAN,150.13653127648766,NAN,"[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [12.0, 12.0, 12.0, 12.0, 12.0, 10.0, 12.0, 13.0, 12.0, 13.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [14.0, 17.0, 12.0, 14.0, 14.0, 12.0, 15.0, 16.0, 12.0, 14.0]]","[[154.36344535215304, 163.52982756793426, 146.9025445694372, 142.66416523350992, 148.29514298519496, 148.070996571783, 156.73145526719205, 146.90501471231136, 149.14692502008475, 147.02074171175997], [159.06291866347968, 152.74469351810455, 138.97276733048787, 162.29841231241943, 136.20700277766468, 136.30253318487186, 144.94198749708056, 155.70030063218982, 162.34915590595784, 155.0504871691043], [160.66568024432038, 157.47470609321786, 149.39590312047022, 130.4463821294525, 153.7827944374896, 156.48325416066206, 149.5729700634638, 140.0711270733987, 152.32467372239284, 153.41276794649258], [141.1064897126365, 149.18034444326906, 138.6775410344389, 127.9319560448643, 145.393821839696, 137.5447659626759, 166.42190622024893, 143.7918186376209, 173.5921030473251, 168.66478091616472], [163.42885191900396, 168.85020200484772, 129.3845840149361, 154.46688144539283, 140.55090586468302, 148.60449966196364, 155.8975179393106, 141.15607525895066, 163.78772492331126, 137.5030159589607]]"
homoSelfPlay.csv,"[4, 3]",SelfPlay,0.3,True,12.000000000000002,NAN,150.30653170277293,NAN,"[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [12.0, 12.0, 12.0, 12.0, 10.0, 12.0, 13.0, 13.0, 12.0, 12.0], [10.0, 12.0, 13.0, 12.0, 12.0, 13.0, 12.0, 12.0, 12.0, 12.0], [13.0, 10.0, 13.0, 10.0, 10.0, 13.0, 14.0, 10.0, 13.0, 14.0], [14.0, 15.0, 15.0, 15.0, 12.0, 14.0, 14.0, 15.0, 14.0, 12.0]]","[[143.9365010009627, 157.98235095462442, 167.910854506371, 161.60083468044155, 100.14555174214257, 133.16135541779263, 166.5032285621916, 157.48128705312192, 161.0427083006713, 153.86558677304092], [156.3095011969217, 144.28072290451644, 134.93124983737604, 155.34255892631518, 156.35597334323265, 157.62323254879874, 143.79228582528162, 147.04124583465563, 155.208481007529, 152.74500756673362], [144.09116681052726, 150.76240896878033, 155.5310942238963, 162.07931153203845, 119.82517838267107, 151.31203656985218, 155.41578631061242, 141.82707669471853, 160.27415024700616, 162.51204925125782], [132.67162830264147, 164.6458461289911, 114.17684385938405, 172.30556789541166, 139.96358506354014, 153.4767815638743, 137.23585278346997, 161.6756748247832, 166.50178686783983, 160.976691701425], [155.72608205118942, 155.28022078580207, 137.25188611270423, 147.81174874362063, 144.9789624109234, 154.1697814216385, 166.71361912747716, 131.10571638899197, 168.70089503885902, 139.06663709199654]]"
homoSelfPlay.csv,"[4, 3]",SelfPlay,0.4,True,12.8,NAN,149.55529385010266,NAN,"[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [14.0, 14.0, 14.0, 12.0, 14.0, 14.0, 16.0, 14.0, 14.0, 14.0], [17.0, 14.0, 12.0, 12.0, 16.0, 15.0, 13.0, 13.0, 15.0, 13.0], [10.0, 12.0, 14.0, 12.0, 12.0, 12.0, 12.0, 13.0, 10.0, 13.0], [14.0, 16.0, 15.0, 12.0, 15.0, 13.0, 15.0, 12.0, 13.0, 15.0]]","[[142.5646497707894, 154.60165175532154, 120.42984201645552, 152.7725152088831, 157.24021495771333, 152.2112742345671, 153.85581973250174, 158.43764566886486, 157.21892729716325, 154.2977183491007], [163.11383666444496, 108.34146247009433, 151.5206943223244, 155.16161095210393, 163.3771234010503, 153.92292529524437, 156.51473811801426, 135.35998941519583, 162.97423779420842, 152.89582611571313], [177.08158709106598, 146.46687415538491, 116.0053308306409, 127.92310255543612, 162.31260809998463, 158.54766305926756, 146.02017522354853, 132.68260220690527, 162.7754647856039, 151.5037888551013], [141.20218440168742, 151.872688826403, 152.42019383668494, 147.54030585617357, 155.2653499072652, 157.3553526600218, 138.1534182716993, 160.2322868689816, 137.24186913366788, 162.34660922877586], [109.4937868388256, 144.3921699368205, 138.96928863981987, 175.4396603761238, 157.18174275354377, 139.68823753493, 149.8368586133563, 149.6388602488837, 155.34474977733584, 166.01717839143936]]"
homoSelfPlay.csv,"[4, 3]",SelfPlay,0.5,True,11.599999999999998,NAN,150.14489772036896,NAN,"[[12.0, 12.0, 12.0, 13.0, 12.0, 12.0, 12.0, 13.0, 12.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [12.0, 12.0, 12.0, 13.0, 12.0, 10.0, 13.0, 12.0, 12.0, 12.0], [12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0], [12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]]","[[151.72145293488995, 158.6767179438192, 152.81526641052443, 144.90541010398505, 113.53737580322012, 161.64331232737538, 155.9955514216545, 161.14347017102355, 160.16148205443548, 143.03021982043288], [145.16896269401914, 161.1985821615475, 161.85009535966708, 127.5123723202587, 163.01545988629712, 154.30000801009263, 154.773243586621, 128.6405522110852, 160.85080453443194, 146.32017822734022], [150.75060518995346, 157.0381242428861, 143.6076181507443, 156.87348636732764, 144.96275402289078, 148.13824874524016, 125.11546779356085, 159.04033207095466, 161.94016082952263, 156.16346157827994], [138.29434235319417, 147.42185445615496, 132.56417263937888, 146.29255644629106, 158.1055998134475, 155.05057072384892, 158.96808688618864, 147.7451950263281, 159.22751976469112, 159.49501109687358], [152.95530830945626, 151.68711290851584, 146.19437316572473, 158.02131346825573, 149.27502488341514, 122.3587918286342, 145.72220749832312, 159.4534607370966, 146.15604211758355, 161.36556492096398]]"
homoSelfPlay.csv,"[4, 3]",SelfPlay,0.6,True,12.000000000000002,NAN,150.1807921428966,NAN,"[[12.0, 12.0, 12.0, 12.0, 10.0, 12.0, 13.0, 12.0, 13.0, 12.0], [15.0, 15.0, 15.0, 13.0, 15.0, 13.0, 12.0, 12.0, 15.0, 15.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0], [12.0, 13.0, 13.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 10.0]]","[[155.91145631396216, 139.58254814469186, 153.91485014245944, 155.93643163721967, 159.2506586215597, 131.1461382764836, 154.00860602878268, 152.8244395130185, 159.4516955890683, 141.6034347241146], [146.9876252886497, 132.29818977510797, 180.7969192679678, 164.31527003741695, 138.30850821043535, 114.11296290457743, 173.66294769365012, 171.21578068306616, 141.48178211241017, 138.64961584331007], [153.53580644367003, 165.87315230754749, 158.1382138365809, 148.14341324089773, 135.54860727045968, 154.6400441866743, 148.6051461769168, 156.44176320947676, 130.34219055553237, 145.50869689569714], [139.8754638479635, 197.55288278093713, 136.19417340761478, 154.64116557696843, 139.1166064115473, 147.2060006353052, 143.6783990992699, 144.46298790766198, 165.77374200820947, 134.67103154658525], [184.99612434302418, 159.57372429976425, 124.23443097974597, 148.39767694924805, 165.8174998394593, 150.19162034106506, 152.87531788741384, 126.37437547373712, 131.42069204894497, 159.7487968289579]]"
